Project,Package,Module,Class,Smell,Method,Line no,File,Description
group02,group02.backend.models,question,Question,Complex method,update_question,142 - 197,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,"Method 'update_question' has a cyclomatic complexity of 17, exceeding the max of 6."
group02,group02.backend.models,question,Question,Long statement,to_dict,63,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,A line with 240 chars in to_dict exceeds the maximum length of 120 characters.
group02,group02.backend.models,question,Question,Long statement,to_dict,72,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,A line with 455 chars in to_dict exceeds the maximum length of 120 characters.
group02,group02.backend.models,question,Question,Long statement,can_be_edited_by,117,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,A line with 233 chars in can_be_edited_by exceeds the maximum length of 120 characters.
group02,group02.backend.models,question,Question,Long statement,update_question,143,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,A line with 271 chars in update_question exceeds the maximum length of 120 characters.
group02,group02.backend.models,question,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,A line with 359 chars in question exceeds the maximum length of 120 characters.
group02,group02.backend.models,question,Question,Magic number,update_question,160,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,Magic number 120 used in update_question.
group02,group02.backend.models,question,Question,Magic number,update_question,180,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,Magic number 5 used in update_question.
group02,group02.backend.models,question,Question,Magic number,update_question,171,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\question.py,Magic number 20 used in update_question.
group02,group02.backend.models,questiontag,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\questiontag.py,A line with 248 chars in questiontag exceeds the maximum length of 120 characters.
group02,group02.backend.models,tag,Tag,Long statement,to_dict,37,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\tag.py,A line with 143 chars in to_dict exceeds the maximum length of 120 characters.
group02,group02.backend.models,tag,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\tag.py,A line with 214 chars in tag exceeds the maximum length of 120 characters.
group02,group02.backend.models,user,User,Long statement,to_dict,39,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\user.py,A line with 272 chars in to_dict exceeds the maximum length of 120 characters.
group02,group02.backend.models,user,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\user.py,A line with 228 chars in user exceeds the maximum length of 120 characters.
group02,group02.backend.models,vote,Vote,Long statement,to_dict,33,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\vote.py,A line with 149 chars in to_dict exceeds the maximum length of 120 characters.
